Packet 602 	 Time(ns) 158.499956
Packet 603 	 Time(ns) 99.062473
Packet 604 	 Time(ns) 108.968720
Packet 605 	 Time(ns) 89.156225
Packet 606 	 Time(ns) 138.687462
Packet 607 	 Time(ns) 99.062473
Packet 608 	 Time(ns) 9.906247
Packet 609 	 Time(ns) 108.968720
Packet 610 	 Time(ns) 79.249978
Packet 611 	 Time(ns) 69.343731
Packet 612 	 Time(ns) 128.781215
Packet 613 	 Time(ns) 19.812495
Packet 614 	 Time(ns) 9.906247
Packet 615 	 Time(ns) 89.156225
Packet 616 	 Time(ns) 9.906247
Packet 617 	 Time(ns) 69.343731
Packet 618 	 Time(ns) 19.812495
Packet 619 	 Time(ns) 19.812495
Packet 620 	 Time(ns) 69.343731
Packet 621 	 Time(ns) 118.874967
Packet 622 	 Time(ns) 9.906247
Packet 623 	 Time(ns) 69.343731
Packet 624 	 Time(ns) 79.249978
Packet 625 	 Time(ns) 19.812495
Packet 626 	 Time(ns) 99.062473
Packet 627 	 Time(ns) 89.156225
Packet 628 	 Time(ns) 29.718742
Packet 629 	 Time(ns) 108.968720
Packet 630 	 Time(ns) 118.874967
Packet 631 	 Time(ns) 128.781215
Packet 632 	 Time(ns) 118.874967
Packet 633 	 Time(ns) 29.718742
Packet 634 	 Time(ns) 19.812495
Packet 635 	 Time(ns) 9.906247
Packet 636 	 Time(ns) 69.343731
Packet 637 	 Time(ns) 19.812495
Packet 638 	 Time(ns) 99.062473
Packet 639 	 Time(ns) 9.906247
Packet 640 	 Time(ns) 79.249978
Packet 641 	 Time(ns) 19.812495
Packet 642 	 Time(ns) 108.968720
Packet 643 	 Time(ns) 118.874967
Packet 644 	 Time(ns) 89.156225
Packet 645 	 Time(ns) 59.437484
Packet 646 	 Time(ns) 99.062473
Packet 647 	 Time(ns) 9.906247
Packet 648 	 Time(ns) 49.531236
Packet 649 	 Time(ns) 19.812495
Packet 650 	 Time(ns) 19.812495
Packet 651 	 Time(ns) 108.968720
Packet 652 	 Time(ns) 128.781215
Packet 653 	 Time(ns) 158.499956
Packet 654 	 Time(ns) 59.437484
Packet 655 	 Time(ns) 9.906247
Packet 656 	 Time(ns) 39.624989
Packet 657 	 Time(ns) 108.968720
Packet 658 	 Time(ns) 9.906247
Packet 659 	 Time(ns) 49.531236
Packet 660 	 Time(ns) 69.343731
Packet 661 	 Time(ns) 89.156225
Packet 662 	 Time(ns) 19.812495
Packet 663 	 Time(ns) 108.968720
Packet 664 	 Time(ns) 69.343731
Packet 665 	 Time(ns) 69.343731
Packet 666 	 Time(ns) 69.343731
Packet 667 	 Time(ns) 19.812495
Packet 668 	 Time(ns) 118.874967
Packet 669 	 Time(ns) 89.156225
Packet 670 	 Time(ns) 118.874967
Packet 671 	 Time(ns) 108.968720
Packet 672 	 Time(ns) 69.343731
Packet 673 	 Time(ns) 39.624989
Packet 674 	 Time(ns) 89.156225
Packet 675 	 Time(ns) 39.624989
Packet 676 	 Time(ns) 69.343731
Packet 677 	 Time(ns) 19.812495
Packet 678 	 Time(ns) 99.062473
Packet 679 	 Time(ns) 108.968720
Packet 680 	 Time(ns) 99.062473
Packet 681 	 Time(ns) 19.812495
Packet 682 	 Time(ns) 59.437484
Packet 683 	 Time(ns) 29.718742
Packet 684 	 Time(ns) 59.437484
Packet 685 	 Time(ns) 118.874967
Packet 686 	 Time(ns) 108.968720
Packet 687 	 Time(ns) 59.437484
Packet 688 	 Time(ns) 178.312451
Packet 689 	 Time(ns) 69.343731
Packet 690 	 Time(ns) 9.906247
Packet 691 	 Time(ns) 99.062473
Packet 692 	 Time(ns) 99.062473
Packet 693 	 Time(ns) 9.906247
Packet 694 	 Time(ns) 89.156225
Packet 695 	 Time(ns) 29.718742
Packet 696 	 Time(ns) 49.531236
Packet 697 	 Time(ns) 99.062473
Packet 698 	 Time(ns) 128.781215
